  0.18900000E+02  0.58497618E-22  0.17045470E-37
  0.19000000E+02  0.57921587E-22  0.18049122E-37
  0.19100000E+02  0.57353873E-22  0.15450563E-37
  0.19200000E+02  0.56794319E-22  0.16959501E-37
  0.19300000E+02  0.56242772E-22  0.15441754E-37
  0.19400000E+02  0.55699082E-22  0.16419167E-37
  0.19500000E+02  0.55163103E-22  0.16136565E-37
  0.19600000E+02  0.54634691E-22  0.14495499E-37
  0.19700000E+02  0.54113708E-22  0.15774489E-37
  0.19800000E+02  0.53600017E-22  0.15106617E-37
  0.19900000E+02  0.53093484E-22  0.15302467E-37
  0.20000000E+02  0.52593979E-22  0.15154884E-37
  0.20100000E+02  0.52101375E-22  0.14267598E-37
  0.20200000E+02  0.51615547E-22  0.14945299E-37
  0.20300000E+02  0.51136373E-22  0.14721830E-37
  0.20400000E+02  0.50663734E-22  0.14021224E-37
  0.20500000E+02  0.50197513E-22  0.15602049E-37
  0.20600000E+02  0.49737596E-22  0.13603156E-37
  0.20700000E+02  0.49283872E-22  0.13961297E-37
  0.20800000E+02  0.48836232E-22  0.13932925E-37
  0.20900000E+02  0.48394569E-22  0.13162009E-37
  0.21000000E+02  0.47958779E-22  0.13197725E-37
  0.21100000E+02  0.47528759E-22  0.13355761E-37
  0.21200000E+02  0.47104409E-22  0.13245162E-37
  0.21300000E+02  0.46685631E-22  0.13479160E-37
  0.21400000E+02  0.46272331E-22  0.12054023E-37
  0.21500000E+02  0.45864413E-22  0.13516220E-37
  0.21600000E+02  0.45461786E-22  0.13429774E-37
  0.21700000E+02  0.45064361E-22  0.13677977E-37
  0.21800000E+02  0.44672048E-22  0.13188088E-37
  0.21900000E+02  0.44284763E-22  0.13581631E-37
  0.22000000E+02  0.43902420E-22  0.11812370E-37
  0.22100000E+02  0.43524938E-22  0.12302233E-37
  0.22200000E+02  0.43152234E-22  0.11825805E-37
  0.22300000E+02  0.42784230E-22  0.12101041E-37
  0.22400000E+02  0.42420849E-22  0.12409071E-37
  0.22500000E+02  0.42062013E-22  0.11354751E-37
  0.22600000E+02  0.41707649E-22  0.11894174E-37
  0.22700000E+02  0.41357683E-22  0.11040891E-37
  0.22800000E+02  0.41012044E-22  0.11181064E-37
  0.22900000E+02  0.40670662E-22  0.11401010E-37
  0.23000000E+02  0.40333468E-22  0.11770876E-37
  0.23100000E+02  0.40000395E-22  0.11340538E-37
  0.23200000E+02  0.39671376E-22  0.10884550E-37
  0.23300000E+02  0.39346347E-22  0.11520146E-37
  0.23400000E+02  0.39025244E-22  0.11717128E-37
  0.23500000E+02  0.38708005E-22  0.10423649E-37
  0.23600000E+02  0.38394569E-22  0.11166682E-37
  0.23700000E+02  0.38084877E-22  0.10133607E-37
  0.23800000E+02  0.37778870E-22  0.10380787E-37
  0.23900000E+02  0.37476489E-22  0.10470734E-37
  0.24000000E+02  0.37177679E-22  0.10577964E-37
  0.24100000E+02  0.36882385E-22  0.10503381E-37
  0.24200000E+02  0.36590551E-22  0.10244442E-37
  0.24300000E+02  0.36302126E-22  0.10448055E-37
  0.24400000E+02  0.36017055E-22  0.99563875E-38
  0.24500000E+02  0.35735290E-22  0.11019079E-37
  0.24600000E+02  0.35456778E-22  0.10195787E-37
  0.24700000E+02  0.35181470E-22  0.10124958E-37
  0.24800000E+02  0.34909319E-22  0.93168052E-38
  0.24900000E+02  0.34640277E-22  0.96857736E-38
  0.25000000E+02  0.34374297E-22  0.90263865E-38
  0.25100000E+02  0.34111333E-22  0.99851209E-38
  0.25200000E+02  0.33851340E-22  0.94429161E-38
  0.25300000E+02  0.33594274E-22  0.98690956E-38
  0.25400000E+02  0.33340093E-22  0.91388939E-38
  0.25500000E+02  0.33088752E-22  0.90372440E-38
  0.25600000E+02  0.32840212E-22  0.94893124E-38
  0.25700000E+02  0.32594430E-22  0.96581357E-38
  0.25800000E+02  0.32351366E-22  0.96310328E-38
  0.25900000E+02  0.32110981E-22  0.92178299E-38
  0.26000000E+02  0.31873237E-22  0.84043889E-38
  0.26100000E+02  0.31638094E-22  0.89637180E-38
  0.26200000E+02  0.31405516E-22  0.91681172E-38
  0.26300000E+02  0.31175465E-22  0.85006639E-38
  0.26400000E+02  0.30947906E-22  0.95401250E-38
  0.26500000E+02  0.30722804E-22  0.87002450E-38
  0.26600000E+02  0.30500122E-22  0.86858946E-38
  0.26700000E+02  0.30279828E-22  0.82910668E-38
  0.26800000E+02  0.30061886E-22  0.86654530E-38
  0.26900000E+02  0.29846265E-22  0.82891550E-38
  0.27000000E+02  0.29632932E-22  0.84526254E-38
  0.27100000E+02  0.29421855E-22  0.81001079E-38
  0.27200000E+02  0.29213002E-22  0.89485679E-38
  0.27300000E+02  0.29006342E-22  0.78747315E-38
  0.27400000E+02  0.28801846E-22  0.79173211E-38
  0.27500000E+02  0.28599484E-22  0.76609616E-38
  0.27600000E+02  0.28399225E-22  0.77298809E-38
  0.27700000E+02  0.28201042E-22  0.78189209E-38
  0.27800000E+02  0.28004906E-22  0.79896620E-38
  0.27900000E+02  0.27810790E-22  0.76890491E-38
  0.28000000E+02  0.27618665E-22  0.72364235E-38
  0.28100000E+02  0.27428505E-22  0.78290222E-38
  0.28200000E+02  0.27240283E-22  0.77886366E-38
  0.28300000E+02  0.27053974E-22  0.75820407E-38
  0.28400000E+02  0.26869552E-22  0.77695791E-38
  0.28500000E+02  0.26686992E-22  0.70249139E-38
  0.28600000E+02  0.26506269E-22  0.71715807E-38
  0.28700000E+02  0.26327358E-22  0.81917685E-38
  0.28800000E+02  0.26150236E-22  0.78986716E-38
  0.28900000E+02  0.25974879E-22  0.74262300E-38
  0.29000000E+02  0.25801264E-22  0.73999991E-38
  0.29100000E+02  0.25629368E-22  0.72777390E-38
  0.29200000E+02  0.25459169E-22  0.77014720E-38
  0.29300000E+02  0.25290644E-22  0.74183730E-38
  0.29400000E+02  0.25123773E-22  0.75176896E-38
  0.29500000E+02  0.24958533E-22  0.72445321E-38
  0.29600000E+02  0.24794904E-22  0.69411872E-38
  0.29700000E+02  0.24632864E-22  0.68011664E-38
  0.29800000E+02  0.24472394E-22  0.71706049E-38
  0.29900000E+02  0.24313474E-22  0.67515504E-38
  0.30000000E+02  0.24156083E-22  0.69097791E-38
  0.30100000E+02  0.24000203E-22  0.67114122E-38
  0.30200000E+02  0.23845813E-22  0.65766062E-38
  0.30300000E+02  0.23692897E-22  0.68605941E-38
  0.30400000E+02  0.23541434E-22  0.68959613E-38
  0.30500000E+02  0.23391407E-22  0.65752953E-38
  0.30600000E+02  0.23242797E-22  0.63540380E-38
  0.30700000E+02  0.23095588E-22  0.62986107E-38
  0.30800000E+02  0.22949762E-22  0.62207936E-38
  0.30900000E+02  0.22805301E-22  0.65932471E-38
  0.31000000E+02  0.22662188E-22  0.64155038E-38
  0.31100000E+02  0.22520408E-22  0.66950533E-38
  0.31200000E+02  0.22379944E-22  0.61752091E-38
  0.31300000E+02  0.22240779E-22  0.61481932E-38
  0.31400000E+02  0.22102898E-22  0.63088298E-38
  0.31500000E+02  0.21966285E-22  0.62117325E-38
  0.31600000E+02  0.21830925E-22  0.61628784E-38
  0.31700000E+02  0.21696802E-22  0.64343889E-38
