  0.30500000E+02  0.29792765E-23  0.58962056E-40
  0.30600000E+02  0.29608336E-23  0.39343807E-40
  0.30700000E+02  0.29425584E-23  0.74912700E-40
  0.30800000E+02  0.29244488E-23  0.43569798E-40
  0.30900000E+02  0.29065030E-23  0.31432752E-40
  0.31000000E+02  0.28887190E-23  0.42463617E-40
  0.31100000E+02  0.28710949E-23  0.61344988E-40
  0.31200000E+02  0.28536288E-23  0.52507269E-40
  0.31300000E+02  0.28363188E-23  0.45558650E-40
  0.31400000E+02  0.28191632E-23  0.33237841E-40
  0.31500000E+02  0.28021602E-23  0.40886202E-40
  0.31600000E+02  0.27853079E-23  0.43020284E-40
  0.31700000E+02  0.27686047E-23  0.46642277E-40
  0.31800000E+02  0.27520488E-23  0.56042784E-40
  0.31900000E+02  0.27356385E-23  0.53381648E-40
  0.32000000E+02  0.27193721E-23  0.43880476E-40
  0.32100000E+02  0.27032480E-23  0.46750810E-40
  0.32200000E+02  0.26872646E-23  0.35562116E-40
  0.32300000E+02  0.26714202E-23  0.36215698E-40
  0.32400000E+02  0.26557133E-23  0.32528911E-40
  0.32500000E+02  0.26401423E-23  0.59523344E-40
  0.32600000E+02  0.26247057E-23  0.39223893E-40
  0.32700000E+02  0.26094020E-23  0.32933058E-40
  0.32800000E+02  0.25942296E-23  0.41261574E-40
  0.32900000E+02  0.25791872E-23  0.37326537E-40
  0.33000000E+02  0.25642731E-23  0.39033414E-40
  0.33100000E+02  0.25494861E-23  0.43655915E-40
  0.33200000E+02  0.25348247E-23  0.23264052E-40
  0.33300000E+02  0.25202874E-23  0.42381099E-40
  0.33400000E+02  0.25058730E-23  0.32509401E-40
  0.33500000E+02  0.24915800E-23  0.23642867E-40
  0.33600000E+02  0.24774072E-23  0.50314397E-40
  0.33700000E+02  0.24633531E-23  0.49206765E-40
  0.33800000E+02  0.24494166E-23  0.30646300E-40
  0.33900000E+02  0.24355963E-23  0.49329108E-40
  0.34000000E+02  0.24218908E-23  0.22950621E-40
  0.34100000E+02  0.24082991E-23  0.30992356E-40
  0.34200000E+02  0.23948199E-23  0.35310707E-40
  0.34300000E+02  0.23814518E-23  0.37653346E-40
  0.34400000E+02  0.23681938E-23  0.48624454E-40
  0.34500000E+02  0.23550447E-23  0.34740163E-40
  0.34600000E+02  0.23420032E-23  0.40543177E-40
  0.34700000E+02  0.23290683E-23  0.25099813E-40
  0.34800000E+02  0.23162387E-23  0.44089724E-40
  0.34900000E+02  0.23035133E-23  0.39083037E-40
  0.35000000E+02  0.22908912E-23  0.35705971E-40
  0.35100000E+02  0.22783710E-23  0.35040474E-40
  0.35200000E+02  0.22659519E-23  0.33720484E-40
  0.35300000E+02  0.22536326E-23  0.46964464E-40
  0.35400000E+02  0.22414122E-23  0.13676455E-40
  0.35500000E+02  0.22292896E-23  0.35754268E-40
  0.35600000E+02  0.22172637E-23  0.34768088E-40
  0.35700000E+02  0.22053336E-23  0.35640386E-40
  0.35800000E+02  0.21934983E-23  0.34679868E-40
  0.35900000E+02  0.21817568E-23  0.23862251E-40
  0.36000000E+02  0.21701081E-23  0.30453180E-40
  0.36100000E+02  0.21585512E-23  0.45632962E-40
  0.36200000E+02  0.21470852E-23  0.34518258E-40
  0.36300000E+02  0.21357091E-23  0.44504387E-40
  0.36400000E+02  0.21244221E-23  0.29288054E-40
  0.36500000E+02  0.21132232E-23  0.34058107E-40
  0.36600000E+02  0.21021115E-23  0.40685741E-40
  0.36700000E+02  0.20910862E-23  0.31461777E-40
  0.36800000E+02  0.20801462E-23  0.33306633E-40
  0.36900000E+02  0.20692908E-23  0.25680458E-40
  0.37000000E+02  0.20585192E-23  0.32210786E-40
  0.37100000E+02  0.20478304E-23  0.44653110E-40
  0.37200000E+02  0.20372236E-23  0.29727392E-40
  0.37300000E+02  0.20266980E-23  0.31994629E-40
  0.37400000E+02  0.20162528E-23  0.33399622E-40
  0.37500000E+02  0.20058872E-23  0.37928736E-40
  0.37600000E+02  0.19956004E-23  0.29170716E-40
  0.37700000E+02  0.19853916E-23  0.40355924E-40
  0.37800000E+02  0.19752599E-23  0.35523759E-40
  0.37900000E+02  0.19652048E-23  0.39872218E-40
  0.38000000E+02  0.19552253E-23  0.25914922E-40
  0.38100000E+02  0.19453207E-23  0.26205397E-40
  0.38200000E+02  0.19354904E-23  0.24099607E-40
  0.38300000E+02  0.19257335E-23  0.35585340E-40
  0.38400000E+02  0.19160494E-23  0.27398963E-40
  0.38500000E+02  0.19064373E-23  0.28867079E-40
  0.38600000E+02  0.18968966E-23  0.36012161E-40
  0.38700000E+02  0.18874265E-23  0.40283034E-40
  0.38800000E+02  0.18780263E-23  0.27794493E-40
  0.38900000E+02  0.18686955E-23  0.26923574E-40
  0.39000000E+02  0.18594332E-23  0.13898941E-40
  0.39100000E+02  0.18502388E-23  0.33084102E-40
  0.39200000E+02  0.18411118E-23  0.24557462E-40
  0.39300000E+02  0.18320513E-23  0.28788469E-40
  0.39400000E+02  0.18230569E-23  0.39872901E-40
  0.39500000E+02  0.18141278E-23  0.30887592E-40
  0.39600000E+02  0.18052635E-23  0.29550401E-40
  0.39700000E+02  0.17964632E-23  0.28110148E-40
  0.39800000E+02  0.17877265E-23  0.20154168E-40
  0.39900000E+02  0.17790527E-23  0.26057521E-40
  0.40000000E+02  0.17704412E-23  0.23652882E-40
